Frame,Ball Position X,Ball Position Y
0,100,400
1,101.496,396.2419355
2,102.992,392.483871
3,104.488,388.7258065
4,105.984,384.9677419
5,107.48,381.2096774
6,108.976,377.4516129
7,110.472,373.6935484
8,111.968,369.9354839
9,113.464,366.1774194
10,114.96,362.4193548
11,116.456,358.6612903
12,117.952,354.9032258
13,119.448,351.1451613
14,120.944,347.3870968
15,122.44,343.6290323
16,123.936,339.8709677
17,125.432,336.1129032
18,126.928,332.3548387
19,128.424,328.5967742
20,129.92,324.8387097
21,131.416,321.0806452
22,132.912,317.3225806
23,134.408,313.5645161
24,135.904,309.8064516
25,137.4,306.0483871
26,138.896,302.2903226
27,140.392,298.5322581
28,141.888,294.7741935
29,143.384,291.016129
30,144.88,287.2580645
31,146.376,283.5
32,147.872,279.7419355
33,149.368,275.983871
34,150.864,272.2258065
35,152.36,268.4677419
36,153.856,264.7096774
37,155.352,260.9516129
38,156.848,257.1935484
39,158.344,253.4354839
40,159.84,249.6774194
41,161.336,245.9193548
42,162.832,242.1612903
43,164.328,238.4032258
44,165.824,234.6451613
45,167.32,230.8870968
46,168.816,227.1290323
47,170.312,223.3709677
48,171.808,219.6129032
49,173.304,215.8548387
50,174.8,212.0967742
51,176.296,208.3387097
52,177.792,204.5806452
53,179.288,200.8225806
54,180.784,197.0645161
55,182.28,193.3064516
56,183.776,189.5483871
57,185.272,185.7903226
58,186.768,182.0322581
59,188.264,178.2741935
60,189.76,174.516129
61,191.256,170.7580645
62,192.752,167
63,194.248,170.7580645
64,195.744,174.516129
65,197.24,178.2741935
66,198.736,182.0322581
67,200.232,185.7903226
68,201.728,189.5483871
69,203.224,193.3064516
70,204.72,197.0645161
71,206.216,200.8225806
72,207.712,204.5806452
73,209.208,208.3387097
74,210.704,212.0967742
75,212.2,215.8548387
76,213.696,219.6129032
77,215.192,223.3709677
78,216.688,227.1290323
79,218.184,230.8870968
80,219.68,234.6451613
81,221.176,238.4032258
82,222.672,242.1612903
83,224.168,245.9193548
84,225.664,249.6774194
85,227.16,253.4354839
86,228.656,257.1935484
87,230.152,260.9516129
88,231.648,264.7096774
89,233.144,268.4677419
90,234.64,272.2258065
91,236.136,275.983871
92,237.632,279.7419355
93,239.128,283.5
94,240.624,287.2580645
95,242.12,291.016129
96,243.616,294.7741935
97,245.112,298.5322581
98,246.608,302.2903226
99,248.104,306.0483871
100,249.6,309.8064516
101,251.096,313.5645161
102,252.592,317.3225806
103,254.088,321.0806452
104,255.584,324.8387097
105,257.08,328.5967742
106,258.576,332.3548387
107,260.072,336.1129032
108,261.568,339.8709677
109,263.064,343.6290323
110,264.56,347.3870968
111,266.056,351.1451613
112,267.552,354.9032258
113,269.048,358.6612903
114,270.544,362.4193548
115,272.04,366.1774194
116,273.536,369.9354839
117,275.032,373.6935484
118,276.528,377.4516129
119,278.024,381.2096774
120,279.52,384.9677419
121,281.016,388.7258065
122,282.512,392.483871
123,284.008,396.2419355
124,285.504,400
125,287,403.7580645
120,287,403.7580645
121,288.8770492,399.1187203
122,290.7540984,394.479376
123,292.6311475,389.8400317
124,294.5081967,385.2006875
125,296.3852459,380.5613432
126,298.2622951,375.9219989
127,300.1393443,371.2826547
128,302.0163934,366.6433104
129,303.8934426,362.0039662
130,305.7704918,357.3646219
131,307.647541,352.7252776
132,309.5245902,348.0859334
133,311.4016393,343.4465891
134,313.2786885,338.8072448
135,315.1557377,334.1679006
136,317.0327869,329.5285563
137,318.9098361,324.8892121
138,320.7868852,320.2498678
139,322.6639344,315.6105235
140,324.5409836,310.9711793
141,326.4180328,306.331835
142,328.295082,301.6924907
143,330.1721311,297.0531465
144,332.0491803,292.4138022
145,333.9262295,287.774458
146,335.8032787,283.1351137
147,337.6803279,278.4957694
148,339.557377,273.8564252
149,341.4344262,269.2170809
150,343.3114754,264.5777366
151,345.1885246,259.9383924
152,347.0655738,255.2990481
153,348.942623,250.6597039
154,350.8196721,246.0203596
155,352.6967213,241.3810153
156,354.5737705,236.7416711
157,356.4508197,232.1023268
158,358.3278689,227.4629825
159,360.204918,222.8236383
160,362.0819672,218.184294
161,363.9590164,213.5449498
162,365.8360656,208.9056055
163,367.7131148,204.2662612
164,369.5901639,199.626917
165,371.4672131,194.9875727
166,373.3442623,190.3482285
167,375.2213115,185.7088842
168,377.0983607,181.0695399
169,378.9754098,176.4301957
170,380.852459,171.7908514
171,382.7295082,167.1515071
172,384.6065574,162.5121629
173,386.4836066,157.8728186
174,388.3606557,153.2334744
175,390.2377049,148.5941301
176,392.1147541,143.9547858
177,393.9918033,139.3154416
178,395.8688525,134.6760973
179,397.7459016,130.036753
180,399.6229508,125.3974088
181,401.5,120.7580645
182,403.3770492,125.3974088
183,405.2540984,130.036753
184,407.1311475,134.6760973
185,409.0081967,139.3154416
186,410.8852459,143.9547858
187,412.7622951,148.5941301
188,414.6393443,153.2334744
189,416.5163934,157.8728186
190,418.3934426,162.5121629
191,420.2704918,167.1515071
192,422.147541,171.7908514
193,424.0245902,176.4301957
194,425.9016393,181.0695399
195,427.7786885,185.7088842
196,429.6557377,190.3482285
197,431.5327869,194.9875727
198,433.4098361,199.626917
199,435.2868852,204.2662612
200,437.1639344,208.9056055
201,439.0409836,213.5449498
202,440.9180328,218.184294
203,442.795082,222.8236383
204,444.6721311,227.4629825
205,446.5491803,232.1023268
206,448.4262295,236.7416711
207,450.3032787,241.3810153
208,452.1803279,246.0203596
209,454.057377,250.6597039
210,455.9344262,255.2990481
211,457.8114754,259.9383924
212,459.6885246,264.5777366
213,461.5655738,269.2170809
214,463.442623,273.8564252
215,465.3196721,278.4957694
216,467.1967213,283.1351137
217,469.0737705,287.774458
218,470.9508197,292.4138022
219,472.8278689,297.0531465
220,474.704918,301.6924907
221,476.5819672,306.331835
222,478.4590164,310.9711793
223,480.3360656,315.6105235
224,482.2131148,320.2498678
225,484.0901639,324.8892121
226,485.9672131,329.5285563
227,487.8442623,334.1679006
228,489.7213115,338.8072448
229,491.5983607,343.4465891
230,493.4754098,348.0859334
231,495.352459,352.7252776
232,497.2295082,357.3646219
233,499.1065574,362.0039662
234,500.9836066,366.6433104
235,502.8606557,371.2826547
236,504.7377049,375.9219989
237,506.6147541,380.5613432
238,508.4918033,385.2006875
239,510.3688525,389.8400317
240,512.2459016,394.479376
241,514.1229508,399.1187203
242,516,403.7580645
240,516,403.7580645
241,513.9430894,399.2826547
242,511.8861789,394.8072448
243,509.8292683,390.331835
244,507.7723577,385.8564252
245,505.7154472,381.3810153
246,503.6585366,376.9056055
247,501.601626,372.4301957
248,499.5447154,367.9547858
249,497.4878049,363.479376
250,495.4308943,359.0039662
251,493.3739837,354.5285563
252,491.3170732,350.0531465
253,489.2601626,345.5777366
254,487.203252,341.1023268
255,485.1463415,336.626917
256,483.0894309,332.1515071
257,481.0325203,327.6760973
258,478.9756098,323.2006875
259,476.9186992,318.7252776
260,474.8617886,314.2498678
261,472.804878,309.774458
262,470.7479675,305.2990481
263,468.6910569,300.8236383
264,466.6341463,296.3482285
265,464.5772358,291.8728186
266,462.5203252,287.3974088
267,460.4634146,282.9219989
268,458.4065041,278.4465891
269,456.3495935,273.9711793
270,454.2926829,269.4957694
271,452.2357724,265.0203596
272,450.1788618,260.5449498
273,448.1219512,256.0695399
274,446.0650407,251.5941301
275,444.0081301,247.1187203
276,441.9512195,242.6433104
277,439.8943089,238.1679006
278,437.8373984,233.6924907
279,435.7804878,229.2170809
280,433.7235772,224.7416711
281,431.6666667,220.2662612
282,429.6097561,215.7908514
283,427.5528455,211.3154416
284,425.495935,206.8400317
285,423.4390244,202.3646219
286,421.3821138,197.8892121
287,419.3252033,193.4138022
288,417.2682927,188.9383924
289,415.2113821,184.4629825
290,413.1544715,179.9875727
291,411.097561,175.5121629
292,409.0406504,171.036753
293,406.9837398,166.5613432
294,404.9268293,162.0859334
295,402.8699187,157.6105235
296,400.8130081,153.1351137
297,398.7560976,148.6597039
298,396.699187,144.184294
299,394.6422764,139.7088842
300,392.5853659,135.2334744
301,390.5284553,130.7580645
302,388.4715447,135.2334744
303,386.4146341,139.7088842
304,384.3577236,144.184294
305,382.300813,148.6597039
306,380.2439024,153.1351137
307,378.1869919,157.6105235
308,376.1300813,162.0859334
309,374.0731707,166.5613432
310,372.0162602,171.036753
311,369.9593496,175.5121629
312,367.902439,179.9875727
313,365.8455285,184.4629825
314,363.7886179,188.9383924
315,361.7317073,193.4138022
316,359.6747967,197.8892121
317,357.6178862,202.3646219
318,355.5609756,206.8400317
319,353.504065,211.3154416
320,351.4471545,215.7908514
321,349.3902439,220.2662612
322,347.3333333,224.7416711
323,345.2764228,229.2170809
324,343.2195122,233.6924907
325,341.1626016,238.1679006
326,339.1056911,242.6433104
327,337.0487805,247.1187203
328,334.9918699,251.5941301
329,332.9349593,256.0695399
330,330.8780488,260.5449498
331,328.8211382,265.0203596
332,326.7642276,269.4957694
333,324.7073171,273.9711793
334,322.6504065,278.4465891
335,320.5934959,282.9219989
336,318.5365854,287.3974088
337,316.4796748,291.8728186
338,314.4227642,296.3482285
339,312.3658537,300.8236383
340,310.3089431,305.2990481
341,308.2520325,309.774458
342,306.195122,314.2498678
343,304.1382114,318.7252776
344,302.0813008,323.2006875
345,300.0243902,327.6760973
346,297.9674797,332.1515071
347,295.9105691,336.626917
348,293.8536585,341.1023268
349,291.796748,345.5777366
350,289.7398374,350.0531465
351,287.6829268,354.5285563
352,285.6260163,359.0039662
353,283.5691057,363.479376
354,281.5121951,367.9547858
355,279.4552846,372.4301957
356,277.398374,376.9056055
357,275.3414634,381.3810153
358,273.2845528,385.8564252
359,271.2276423,390.331835
360,269.1707317,394.8072448
361,267.1138211,399.2826547
362,265.0569106,403.7580645
363,263,408.2334744
360,263,408.2334744
361,264.4770642,403.3247966
362,265.9541284,398.5070204
363,267.4311927,393.7801455
364,268.9082569,389.1441721
365,270.3853211,384.5991001
366,271.8623853,380.1449296
367,273.3394495,375.7816605
368,274.8165138,371.5092929
369,276.293578,367.3278267
370,277.7706422,363.2372619
371,279.2477064,359.2375986
372,280.7247706,355.3288367
373,282.2018349,351.5109762
374,283.6788991,347.7840172
375,285.1559633,344.1479597
376,286.6330275,340.6028035
377,288.1100917,337.1485488
378,289.587156,333.7851956
379,291.0642202,330.5127438
380,292.5412844,327.3311934
381,294.0183486,324.2405445
382,295.4954128,321.240797
383,296.9724771,318.3319509
384,298.4495413,315.5140063
385,299.9266055,312.7869631
386,301.4036697,310.1508214
387,302.8807339,307.6055811
388,304.3577982,305.1512422
389,305.8348624,302.7878048
390,307.3119266,300.5152688
391,308.7889908,298.3336343
392,310.266055,296.2429012
393,311.7431193,294.2430695
394,313.2201835,292.3341393
395,314.6972477,290.5161105
396,316.1743119,288.7889831
397,317.6513761,287.1527572
398,319.1284404,285.6074328
399,320.6055046,284.1530097
400,322.0825688,282.7894882
401,323.559633,281.516868
402,325.0366972,280.3351493
403,326.5137615,279.244332
404,327.9908257,278.2444162
405,329.4678899,277.3354018
406,330.9449541,276.5172888
407,332.4220183,275.7900773
408,333.8990826,275.1537673
409,335.3761468,274.6083586
410,336.853211,274.1538514
411,338.3302752,273.7902457
412,339.8073394,273.5175413
413,341.2844037,273.3357385
414,342.7614679,273.244837
415,344.2385321,273.244837
416,345.7155963,273.3357385
417,347.1926606,273.5175413
418,348.6697248,273.7902457
419,350.146789,274.1538514
420,351.6238532,274.6083586
421,353.1009174,275.1537673
422,354.5779817,275.7900773
423,356.0550459,276.5172888
424,357.5321101,277.3354018
425,359.0091743,278.2444162
426,360.4862385,279.244332
427,361.9633028,280.3351493
428,363.440367,281.516868
429,364.9174312,282.7894882
430,366.3944954,284.1530097
431,367.8715596,285.6074328
432,369.3486239,287.1527572
433,370.8256881,288.7889831
434,372.3027523,290.5161105
435,373.7798165,292.3341393
436,375.2568807,294.2430695
437,376.733945,296.2429012
438,378.2110092,298.3336343
439,379.6880734,300.5152688
440,381.1651376,302.7878048
441,382.6422018,305.1512422
442,384.1192661,307.6055811
443,385.5963303,310.1508214
444,387.0733945,312.7869631
445,388.5504587,315.5140063
446,390.0275229,318.3319509
447,391.5045872,321.240797
448,392.9816514,324.2405445
449,394.4587156,327.3311934
450,395.9357798,330.5127438
451,397.412844,333.7851956
452,398.8899083,337.1485488
453,400.3669725,340.6028035
454,401.8440367,344.1479597
455,403.3211009,347.7840172
456,404.7981651,351.5109762
457,406.2752294,355.3288367
458,407.7522936,359.2375986
459,409.2293578,363.2372619
460,410.706422,367.3278267
461,412.1834862,371.5092929
462,413.6605505,375.7816605
463,415.1376147,380.1449296
464,416.6146789,384.5991001
465,418.0917431,389.1441721
466,419.5688073,393.7801455
467,421.0458716,398.5070204
468,422.5229358,403.3247966
469,424,408.2334744
480,424,408.2334744
481,425.6083333,400.895141
482,427.2166667,393.680141
483,428.825,386.5884744
484,430.4333333,379.620141
485,432.0416667,372.775141
486,433.65,366.0534744
487,435.2583333,359.455141
488,436.8666667,352.980141
489,438.475,346.6284744
490,440.0833333,340.400141
491,441.6916667,334.295141
492,443.3,328.3134744
493,444.9083333,322.455141
494,446.5166667,316.720141
495,448.125,311.1084744
496,449.7333333,305.620141
497,451.3416667,300.255141
498,452.95,295.0134744
499,454.5583333,289.895141
500,456.1666667,284.900141
501,457.775,280.0284744
502,459.3833333,275.280141
503,460.9916667,270.655141
504,462.6,266.1534744
505,464.2083333,261.775141
506,465.8166667,257.520141
507,467.425,253.3884744
508,469.0333333,249.380141
509,470.6416667,245.495141
510,472.25,241.7334744
511,473.8583333,238.095141
