Frame,X,Y,movement type
1,100.49984,400.5,L
2,102.49984,396.50016,L
3,104.49984,392.49984,P
4,106.49984,388.5,PL
5,108.49984,385.5,L
6,110.49984,381.50016,P
7,112.49984,378,L
8,114.49984,374.49984,LP
9,117.50016,370.5,PL
10,119.50016,366.99984,L
11,121.50016,363.50016,PL
12,123.50016,360,LP
13,125.50016,355.5,P
14,127.50016,352.5,L
15,129.50016,348.50016,P
16,132.49984,344.49984,PL
17,134.49984,341.49984,LP
18,136.49984,337.5,PL
19,138.49984,333.50016,P
20,140.49984,330.99984,L
21,142.49984,327,P
22,144.49984,322.5,P
23,147.50016,319.5,LP
24,149.50016,315.50016,P
25,151.50016,312,L
26,153.50016,308.49984,L
27,155.50016,304.5,P
28,157.50016,300.50016,L
29,159.50016,297.99984,P
30,162.49984,293.49984,L
31,164.49984,289.5,L
32,166.49984,285.50016,P
33,168.49984,282.50016,L
34,170.49984,278.49984,L
35,172.49984,274.5,P
36,174.49984,272.00016,L
37,177.50016,267.50016,P
38,179.50016,264,LP
39,181.50016,260.49984,LP
40,183.50016,256.5,L
41,185.50016,252.50016,P
42,187.50016,249.50016,L
43,189.50016,245.49984,L
44,192.49984,241.5,P
45,194.49984,238.5,L
46,196.49984,234.50016,L
47,198.49984,231,L
48,200.49984,227.49984,LP
49,202.49984,224.00016,L
50,204.49984,219.50016,P
51,207.50016,216.99984,L
52,209.50016,212.49984,L
53,211.50016,208.5,P
54,213.50016,205.5,L
55,215.50016,201.99984,LP
56,217.50016,197.49984,P
57,219.50016,194.49984,L
58,222.49984,197.49984,P
59,224.49984,201.99984,L
60,226.49984,205.5,L
61,228.49984,208.5,P
62,230.49984,212.49984,L
63,232.49984,216.50016,LP
64,234.49984,219.50016,P
65,237.50016,224.00016,L
66,239.50016,227.49984,LP
67,241.50016,230.49984,PL
68,243.50016,234.50016,L
69,245.50016,239.00016,L
70,247.50016,241.5,P
71,249.50016,245.49984,L
72,252.49984,249.50016,LP
73,254.49984,252.50016,PL
74,256.49984,256.5,L
75,258.49984,260.49984,LP
76,260.49984,264,LP
77,262.49984,267.50016,P
78,264.49984,272.00016,L
79,267.50016,274.5,P
80,269.50016,279,L
81,271.50016,282.99984,L
82,273.50016,285.50016,P
83,275.50016,289.5,LP
84,277.50016,293.49984,PL
85,279.50016,297.99984,L
86,282.49984,300.50016,P
87,284.49984,304.5,PL
88,286.49984,308.49984,L
89,288.49984,312,LP
90,290.49984,315.50016,PL
91,292.49984,320.00016,L
92,294.49984,322.5,P
93,297.50016,326.49984,LP
94,299.50016,330.50016,LP
95,301.50016,333.50016,PL
96,303.50016,337.5,LP
97,305.50016,341.49984,LP
98,307.50016,344.49984,PL
99,309.50016,348.50016,LP
100,312.49984,352.5,L
101,314.49984,355.5,P
102,316.49984,360,L
103,318.49984,363.50016,L
104,320.49984,366.50016,PL
105,322.49984,370.5,P
106,324.49984,375,L
107,327.50016,378,P
108,329.50016,381.50016,P
109,331.50016,385.5,L
110,333.50016,388.5,P
111,335.50016,393,L
112,337.50016,396.50016,PL
113,339.50016,400.5,L
114,342.49984,403.5,L
115,342.49984,403.5,L
116,343.50016,400.5,L
117,344.49984,397.5,LP
118,346.49984,394.5,PL
119,347.50016,392.00016,L
120,348.49984,388.5,PL
121,350.49984,386.00016,L
122,351.50016,382.5,L
123,353.50016,379.5,PL
124,354.49984,377.00016,L
125,355.50016,373.5,L
126,357.50016,370.5,P
127,358.49984,368.00016,L
128,360.49984,364.5,PL
129,361.50016,361.5,P
130,362.49984,358.5,L
131,364.49984,355.5,L
132,365.50016,352.5,L
133,366.49984,349.5,L
134,368.49984,346.5,PL
135,369.50016,344.00016,L
136,371.50016,340.5,PL
137,372.49984,337.5,PL
138,373.50016,335.00016,L
139,375.50016,331.5,PL
140,376.49984,328.5,L
141,378.49984,325.5,L
142,379.50016,322.5,PL
143,380.49984,320.00016,L
144,382.49984,316.5,P
145,383.50016,314.00016,L
146,384.49984,310.5,PL
147,386.49984,307.5,L
148,387.50016,304.5,L
149,389.50016,301.5,L
150,390.49984,298.5,P
151,391.50016,296.00016,L
152,393.50016,292.5,P
153,394.49984,289.5,P
154,396.49984,287.00016,LP
155,397.50016,283.5,P
156,398.49984,281.00016,L
157,400.49984,277.5,LP
158,401.50016,273.50016,L
159,402.49984,270.50016,LP
160,404.49984,267.50016,L
161,405.50016,264.50016,LP
162,407.50016,261.50016,LP
163,408.49984,258.50016,L
164,409.50016,255.99984,LP
165,411.50016,252.50016,P
166,412.49984,249.50016,P
167,414.49984,246.99984,LP
168,415.50016,243.50016,L
169,416.49984,240.50016,P
170,418.49984,237.50016,L
171,419.50016,234.50016,P
172,420.49984,231.99984,L
173,422.49984,228.50016,P
174,423.50016,225.50016,L
175,425.50016,222.50016,LP
176,426.49984,219.50016,L
177,427.50016,216.50016,LP
178,429.50016,213.50016,L
179,430.49984,216.50016,L
180,432.49984,219.50016,PL
181,433.50016,222.50016,PL
182,434.49984,225.50016,PL
183,436.49984,228.50016,PL
184,437.50016,231.99984,L
185,439.50016,234.99984,L
186,440.49984,237.50016,PL
187,441.50016,240.99984,L
188,443.50016,243.50016,P
189,444.49984,246.99984,L
190,445.50016,249.50016,PL
191,447.50016,252.50016,PL
192,448.49984,255.99984,L
193,450.49984,258.50016,PL
194,451.50016,261.50016,PL
195,452.49984,264.50016,PL
196,454.49984,267.50016,PL
197,455.50016,270.99984,L
198,457.50016,273.50016,P
199,458.49984,277.5,L
200,459.50016,280.5,L
201,461.50016,283.5,L
202,462.49984,286.5,L
203,463.50016,289.5,L
204,465.50016,292.5,PL
205,466.49984,296.00016,L
206,468.49984,298.5,PL
207,469.50016,301.5,P
208,470.49984,304.5,L
209,472.49984,307.5,P
210,473.50016,310.5,L
211,475.50016,313.5,L
212,476.49984,316.5,PL
